system:index,NDVI_01_Jan,NDVI_02_Feb,NDVI_03_Mar,NDVI_04_Apr,NDVI_05_May,NDVI_06_Jun,NDVI_07_Jul,NDVI_08_Aug,NDVI_09_Sep,NDVI_10_Oct,NDVI_11_Nov,NDVI_12_Dec,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_StdDev,class,.geo
0_0,0.5483871,0.7112087,0.6043053,0.22082192,0.3351342,0.73838043,0.7393641,0.40126768,-0.098417066,0.18459229,0.01953125,-0.15369262,0.7393641,0.35424027,-0.15369262,0.30924884250757556,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.36835235,0.3711672,0.34126487,0.22466382,0.29197198,0.4386087,0.45263553,0.47010615,0.39127374,0.12888199,0.089321695,0.04261796,0.47010615,0.3009055,0.04261796,0.14049287187262893,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.40912053,0.44658083,0.43248883,0.3392435,0.33595285,0.5014749,0.57234144,0.5268173,0.4640565,0.18998273,0.21626016,0.06451613,0.57234144,0.374903,0.06451613,0.14552925368694405,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.38933527,0.47764707,0.49449125,0.41185185,0.5891806,0.66765577,0.7464549,0.5879241,0.80939096,0.4141643,0.6915681,0.5363725,0.80939096,0.56800306,0.38933527,0.13250720874586838,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.2778716,0.7386101,0.6079132,0.31196055,0.24015749,0.67096776,0.7429655,0.38371548,0.045177046,-0.31190926,0.24986567,-0.22052705,0.7429655,0.31139734,-0.31190926,0.33460396347770793,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.26708075,0.7132964,0.7189534,0.3011104,0.21879484,0.5798733,0.82836163,0.3325967,0.03192848,-0.3639775,-0.19567356,-0.30120483,0.82836163,0.26092833,-0.3639775,0.3888145924306399,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.46176708,0.5802587,0.50967413,0.17261387,0.48803765,0.5769543,0.5902404,0.3576489,0.31994644,0.14849095,0.3399117,0.23000497,0.5902404,0.39796242,0.14849095,0.1525380277257487,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.7279261,0.78868437,0.668534,0.15602094,0.48174942,0.71163315,0.837318,0.43773696,-0.33131313,-0.47180346,-0.33919156,-0.39240506,0.837318,0.27290747,-0.47180346,0.49682799176087833,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.72049856,0.8406765,0.6758458,0.17816684,0.49307775,0.8396688,0.85139245,0.38374057,-0.6098765,-0.015873017,-0.45048544,-0.37592137,0.85139245,0.29424256,-0.6098765,0.5173790013018776,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.5911215,0.76667154,0.798547,0.7358322,0.87977314,0.8677718,0.8846847,0.86275405,-0.2014904,-0.14349277,0.22025098,0.37921906,0.8846847,0.55347025,-0.2014904,0.3816554973915516,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.4407788,0.41973907,0.42217246,0.32357553,0.47997972,0.34455445,0.5099027,0.53945696,0.5168666,0.41122565,0.64474636,0.51135737,0.64474636,0.4636963,0.32357553,0.08503974712604111,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.48992443,0.6949316,0.63300973,0.2811894,0.45150608,0.7018849,0.7525247,0.28756675,0.48333332,0.0021482278,0.049362175,0.33333334,0.7525247,0.43005955,0.0021482278,0.2373397226931978,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.73948437,0.8465449,0.58219445,0.1716698,0.19946273,0.72679573,0.8308925,0.37318256,-0.2166998,-0.09163347,-0.2535306,-0.22453223,0.8465449,0.3069859,-0.2535306,0.4152032786175475,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.357212,0.82578397,0.6797683,0.15016393,0.14450589,0.69654113,0.7479688,0.42075577,-0.5270108,-0.10803324,-0.10929368,-0.18502203,0.82578397,0.25777835,-0.5270108,0.41582164915595987,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.5922523,0.63150287,0.47063234,0.17836387,0.15781818,0.49459255,0.69555676,0.3361284,-0.35827875,-0.05019815,-0.32137734,-0.2790445,0.69555676,0.21232904,-0.35827875,0.3697078041631327,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.8063063,0.7932238,0.46735635,0.39495525,0.8242207,0.8458044,0.36515152,0.43197027,0.44872728,0.28014615,0.4872074,0.3960747,0.8458044,0.5450953,0.28014615,0.19936175799000952,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.5762456,0.6345857,0.5347447,0.54818016,0.6977025,0.74299514,0.6292019,0.60444653,0.7131222,0.5688231,0.5343203,0.44785276,0.74299514,0.60268503,0.44785276,0.0820135331539196,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.75158,0.7722202,0.585737,0.43966126,0.809223,0.7537538,0.4523135,0.41167775,0.58997315,0.24240865,0.77235,0.56898105,0.809223,0.5958233,0.24240865,0.17360605455196304,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.46742457,0.7360321,0.60897714,0.1340861,0.6197183,0.8132939,0.7631036,0.18188679,0.7886811,0.7818577,0.50536585,0.1323788,0.8132939,0.5444005,0.1323788,0.25161879184512187,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
